Economy,Indicator,Unit of Measure,Year,Value
Nepal,"Material Footprint, All (t million)",metric ton,2011,67700000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2011,122500000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2011,27500000
Cambodia,"Material Footprint, All (t million)",metric ton,2011,73300000
Indonesia,"Material Footprint, All (t million)",metric ton,2011,1374300000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2011,34000000
Malaysia,"Material Footprint, All (t million)",metric ton,2011,522700000
Myanmar,"Material Footprint, All (t million)",metric ton,2011,129600000
Philippines,"Material Footprint, All (t million)",metric ton,2011,517300000
Singapore,"Material Footprint, All (t million)",metric ton,2011,281300000
Thailand,"Material Footprint, All (t million)",metric ton,2011,753600000
Viet Nam,"Material Footprint, All (t million)",metric ton,2011,775400000
Fiji,"Material Footprint, All (t million)",metric ton,2011,5300000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2011,40100000
Samoa,"Material Footprint, All (t million)",metric ton,2011,1400000
Vanuatu,"Material Footprint, All (t million)",metric ton,2011,1800000
Australia,"Material Footprint, All (t million)",metric ton,2011,1062400000
Japan,"Material Footprint, All (t million)",metric ton,2011,2800900000
New Zealand,"Material Footprint, All (t million)",metric ton,2011,132000000
Afghanistan,"Material Footprint, All (t million)",metric ton,2012,57900000
Armenia,"Material Footprint, All (t million)",metric ton,2012,18100000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2012,107600000
Georgia,"Material Footprint, All (t million)",metric ton,2012,50700000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2012,537500000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2012,47300000
Pakistan,"Material Footprint, All (t million)",metric ton,2012,541400000
Tajikistan,"Material Footprint, All (t million)",metric ton,2012,28600000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2012,37300000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2012,174100000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2012,27469300000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2012,624700000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2012,1091500000
Mongolia,"Material Footprint, All (t million)",metric ton,2012,36600000
Bangladesh,"Material Footprint, All (t million)",metric ton,2012,435500000
Bhutan,"Material Footprint, All (t million)",metric ton,2012,17400000
India,"Material Footprint, All (t million)",metric ton,2012,5964900000
Maldives,"Material Footprint, All (t million)",metric ton,2012,4900000
Nepal,"Material Footprint, All (t million)",metric ton,2012,81700000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2012,116600000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2012,29700000
Cambodia,"Material Footprint, All (t million)",metric ton,2012,74300000
Indonesia,"Material Footprint, All (t million)",metric ton,2012,1635400000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2012,43000000
Malaysia,"Material Footprint, All (t million)",metric ton,2012,579900000
Myanmar,"Material Footprint, All (t million)",metric ton,2012,124900000
Philippines,"Material Footprint, All (t million)",metric ton,2012,539600000
Singapore,"Material Footprint, All (t million)",metric ton,2012,296500000
Thailand,"Material Footprint, All (t million)",metric ton,2012,769200000
Viet Nam,"Material Footprint, All (t million)",metric ton,2012,764000000
Fiji,"Material Footprint, All (t million)",metric ton,2012,5100000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2012,42900000
Samoa,"Material Footprint, All (t million)",metric ton,2012,1300000
Vanuatu,"Material Footprint, All (t million)",metric ton,2012,1700000
Australia,"Material Footprint, All (t million)",metric ton,2012,1124300000
Japan,"Material Footprint, All (t million)",metric ton,2012,2898600000
New Zealand,"Material Footprint, All (t million)",metric ton,2012,133500000
Afghanistan,"Material Footprint, All (t million)",metric ton,2013,60600000
Armenia,"Material Footprint, All (t million)",metric ton,2013,17800000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2013,126200000
Georgia,"Material Footprint, All (t million)",metric ton,2013,45600000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2013,656600000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2013,48600000
Pakistan,"Material Footprint, All (t million)",metric ton,2013,554500000
Tajikistan,"Material Footprint, All (t million)",metric ton,2013,30800000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2013,41300000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2013,188400000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2013,29750600000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2013,695800000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2013,1067900000
Mongolia,"Material Footprint, All (t million)",metric ton,2013,39700000
Bangladesh,"Material Footprint, All (t million)",metric ton,2013,444800000
Bhutan,"Material Footprint, All (t million)",metric ton,2013,18300000
India,"Material Footprint, All (t million)",metric ton,2013,6022000000
Maldives,"Material Footprint, All (t million)",metric ton,2013,5600000
Nepal,"Material Footprint, All (t million)",metric ton,2013,85200000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2013,72800000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2013,33600000
Cambodia,"Material Footprint, All (t million)",metric ton,2013,75200000
Indonesia,"Material Footprint, All (t million)",metric ton,2013,1636900000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2013,44600000
Malaysia,"Material Footprint, All (t million)",metric ton,2013,560400000
Myanmar,"Material Footprint, All (t million)",metric ton,2013,131000000
Philippines,"Material Footprint, All (t million)",metric ton,2013,549100000
Singapore,"Material Footprint, All (t million)",metric ton,2013,353500000
Thailand,"Material Footprint, All (t million)",metric ton,2013,811500000
Viet Nam,"Material Footprint, All (t million)",metric ton,2013,707900000
Fiji,"Material Footprint, All (t million)",metric ton,2013,6300000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2013,40400000
Samoa,"Material Footprint, All (t million)",metric ton,2013,1400000
Vanuatu,"Material Footprint, All (t million)",metric ton,2013,1900000
Australia,"Material Footprint, All (t million)",metric ton,2013,1068900000
Japan,"Material Footprint, All (t million)",metric ton,2013,2926200000
New Zealand,"Material Footprint, All (t million)",metric ton,2013,144500000
Afghanistan,"Material Footprint, All (t million)",metric ton,2014,55200000
Armenia,"Material Footprint, All (t million)",metric ton,2014,18800000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2014,122800000
Georgia,"Material Footprint, All (t million)",metric ton,2014,46800000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2014,681700000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2014,54900000
Pakistan,"Material Footprint, All (t million)",metric ton,2014,598400000
Tajikistan,"Material Footprint, All (t million)",metric ton,2014,38600000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2014,45400000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2014,199400000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2014,30460100000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2014,815100000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2014,1087600000
Mongolia,"Material Footprint, All (t million)",metric ton,2014,42700000
Bangladesh,"Material Footprint, All (t million)",metric ton,2014,331800000
Bhutan,"Material Footprint, All (t million)",metric ton,2014,21200000
India,"Material Footprint, All (t million)",metric ton,2014,5961300000
Maldives,"Material Footprint, All (t million)",metric ton,2014,5800000
Nepal,"Material Footprint, All (t million)",metric ton,2014,91000000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2014,119100000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2014,33200000
Cambodia,"Material Footprint, All (t million)",metric ton,2014,72200000
Indonesia,"Material Footprint, All (t million)",metric ton,2014,1666100000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2014,49500000
Malaysia,"Material Footprint, All (t million)",metric ton,2014,546400000
Myanmar,"Material Footprint, All (t million)",metric ton,2014,164600000
Philippines,"Material Footprint, All (t million)",metric ton,2014,769500000
Singapore,"Material Footprint, All (t million)",metric ton,2014,294300000
Thailand,"Material Footprint, All (t million)",metric ton,2014,739900000
Viet Nam,"Material Footprint, All (t million)",metric ton,2014,903400000
Fiji,"Material Footprint, All (t million)",metric ton,2014,6400000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2014,36600000
Samoa,"Material Footprint, All (t million)",metric ton,2014,1400000
Vanuatu,"Material Footprint, All (t million)",metric ton,2014,1900000
Australia,"Material Footprint, All (t million)",metric ton,2014,1127900000
Japan,"Material Footprint, All (t million)",metric ton,2014,2873700000
New Zealand,"Material Footprint, All (t million)",metric ton,2014,158500000
Afghanistan,"Material Footprint, All (t million)",metric ton,2015,55700000
Armenia,"Material Footprint, All (t million)",metric ton,2015,19000000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2015,105200000
Georgia,"Material Footprint, All (t million)",metric ton,2015,46800000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2015,777800000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2015,53200000
Pakistan,"Material Footprint, All (t million)",metric ton,2015,617100000
Tajikistan,"Material Footprint, All (t million)",metric ton,2015,40000000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2015,47600000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2015,192000000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2015,29945900000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2015,765700000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2015,1092100000
Mongolia,"Material Footprint, All (t million)",metric ton,2015,43900000
Bangladesh,"Material Footprint, All (t million)",metric ton,2015,396500000
Bhutan,"Material Footprint, All (t million)",metric ton,2015,23500000
India,"Material Footprint, All (t million)",metric ton,2015,6237000000
Maldives,"Material Footprint, All (t million)",metric ton,2015,6000000
Nepal,"Material Footprint, All (t million)",metric ton,2015,94000000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2015,129600000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2015,36000000
Cambodia,"Material Footprint, All (t million)",metric ton,2015,76400000
Indonesia,"Material Footprint, All (t million)",metric ton,2015,1718400000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2015,57400000
Malaysia,"Material Footprint, All (t million)",metric ton,2015,571400000
Myanmar,"Material Footprint, All (t million)",metric ton,2015,128900000
Philippines,"Material Footprint, All (t million)",metric ton,2015,792900000
Singapore,"Material Footprint, All (t million)",metric ton,2015,304600000
Thailand,"Material Footprint, All (t million)",metric ton,2015,720900000
Viet Nam,"Material Footprint, All (t million)",metric ton,2015,929200000
Fiji,"Material Footprint, All (t million)",metric ton,2015,6400000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2015,30100000
Samoa,"Material Footprint, All (t million)",metric ton,2015,1500000
Vanuatu,"Material Footprint, All (t million)",metric ton,2015,2000000
Australia,"Material Footprint, All (t million)",metric ton,2015,1122700000
Japan,"Material Footprint, All (t million)",metric ton,2015,2597500000
New Zealand,"Material Footprint, All (t million)",metric ton,2015,150400000
Afghanistan,"Material Footprint, All (t million)",metric ton,2016,58700000
Armenia,"Material Footprint, All (t million)",metric ton,2016,22900000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2016,111000000
Georgia,"Material Footprint, All (t million)",metric ton,2016,49300000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2016,675000000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2016,52400000
Pakistan,"Material Footprint, All (t million)",metric ton,2016,686400000
Tajikistan,"Material Footprint, All (t million)",metric ton,2016,42700000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2016,44200000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2016,212100000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2016,30723000000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2016,720700000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2016,1101300000
Mongolia,"Material Footprint, All (t million)",metric ton,2016,38700000
Bangladesh,"Material Footprint, All (t million)",metric ton,2016,368700000
Bhutan,"Material Footprint, All (t million)",metric ton,2016,25300000
India,"Material Footprint, All (t million)",metric ton,2016,6328100000
Maldives,"Material Footprint, All (t million)",metric ton,2016,6100000
Nepal,"Material Footprint, All (t million)",metric ton,2016,112700000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2016,95700000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2016,34900000
Cambodia,"Material Footprint, All (t million)",metric ton,2016,84700000
Indonesia,"Material Footprint, All (t million)",metric ton,2016,1658500000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2016,60000000
Malaysia,"Material Footprint, All (t million)",metric ton,2016,571600000
Myanmar,"Material Footprint, All (t million)",metric ton,2016,124800000
Philippines,"Material Footprint, All (t million)",metric ton,2016,846400000
Singapore,"Material Footprint, All (t million)",metric ton,2016,319600000
Thailand,"Material Footprint, All (t million)",metric ton,2016,717000000
Viet Nam,"Material Footprint, All (t million)",metric ton,2016,757700000
Fiji,"Material Footprint, All (t million)",metric ton,2016,6500000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2016,31700000
Samoa,"Material Footprint, All (t million)",metric ton,2016,1500000
Vanuatu,"Material Footprint, All (t million)",metric ton,2016,2000000
Australia,"Material Footprint, All (t million)",metric ton,2016,1123800000
Japan,"Material Footprint, All (t million)",metric ton,2016,2463700000
New Zealand,"Material Footprint, All (t million)",metric ton,2016,152300000
Afghanistan,"Material Footprint, All (t million)",metric ton,2017,51300000
Armenia,"Material Footprint, All (t million)",metric ton,2017,21700000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2017,118300000
Georgia,"Material Footprint, All (t million)",metric ton,2017,48100000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2017,618700000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2017,56900000
Pakistan,"Material Footprint, All (t million)",metric ton,2017,763500000
Tajikistan,"Material Footprint, All (t million)",metric ton,2017,48700000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2017,43200000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2017,197400000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2017,30560600000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2017,826500000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2017,1161100000
Mongolia,"Material Footprint, All (t million)",metric ton,2017,38200000
Bangladesh,"Material Footprint, All (t million)",metric ton,2017,378500000
Bhutan,"Material Footprint, All (t million)",metric ton,2017,26000000
India,"Material Footprint, All (t million)",metric ton,2017,6476900000
Maldives,"Material Footprint, All (t million)",metric ton,2017,6300000
Nepal,"Material Footprint, All (t million)",metric ton,2017,126500000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2017,154000000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2017,35800000
Cambodia,"Material Footprint, All (t million)",metric ton,2017,86800000
Indonesia,"Material Footprint, All (t million)",metric ton,2017,1714800000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2017,60600000
Malaysia,"Material Footprint, All (t million)",metric ton,2017,620000000
Myanmar,"Material Footprint, All (t million)",metric ton,2017,119600000
Philippines,"Material Footprint, All (t million)",metric ton,2017,888400000
Singapore,"Material Footprint, All (t million)",metric ton,2017,316700000
Thailand,"Material Footprint, All (t million)",metric ton,2017,743200000
Viet Nam,"Material Footprint, All (t million)",metric ton,2017,772000000
Fiji,"Material Footprint, All (t million)",metric ton,2017,6500000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2017,32000000
Samoa,"Material Footprint, All (t million)",metric ton,2017,1600000
Vanuatu,"Material Footprint, All (t million)",metric ton,2017,2100000
Australia,"Material Footprint, All (t million)",metric ton,2017,1186600000
Japan,"Material Footprint, All (t million)",metric ton,2017,2482300000
New Zealand,"Material Footprint, All (t million)",metric ton,2017,153800000
Afghanistan,"Material Footprint, All (t million)",metric ton,2018,49200000
Armenia,"Material Footprint, All (t million)",metric ton,2018,17700000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2018,105100000
Georgia,"Material Footprint, All (t million)",metric ton,2018,48800000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2018,599500000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2018,56600000
Pakistan,"Material Footprint, All (t million)",metric ton,2018,751700000
Tajikistan,"Material Footprint, All (t million)",metric ton,2018,49800000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2018,75100000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2018,202600000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2018,30470600000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2018,826600000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2018,1108100000
Mongolia,"Material Footprint, All (t million)",metric ton,2018,35300000
Bangladesh,"Material Footprint, All (t million)",metric ton,2018,458200000
Bhutan,"Material Footprint, All (t million)",metric ton,2018,23600000
India,"Material Footprint, All (t million)",metric ton,2018,6908300000
Maldives,"Material Footprint, All (t million)",metric ton,2018,...
Nepal,"Material Footprint, All (t million)",metric ton,2018,149000000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2018,91900000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2018,30500000
Cambodia,"Material Footprint, All (t million)",metric ton,2018,85000000
Indonesia,"Material Footprint, All (t million)",metric ton,2018,1783300000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2018,67900000
Malaysia,"Material Footprint, All (t million)",metric ton,2018,610200000
Myanmar,"Material Footprint, All (t million)",metric ton,2018,113500000
Philippines,"Material Footprint, All (t million)",metric ton,2018,895000000
Singapore,"Material Footprint, All (t million)",metric ton,2018,272400000
Thailand,"Material Footprint, All (t million)",metric ton,2018,786000000
Viet Nam,"Material Footprint, All (t million)",metric ton,2018,775600000
Fiji,"Material Footprint, All (t million)",metric ton,2018,...
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2018,50100000
Samoa,"Material Footprint, All (t million)",metric ton,2018,...
Vanuatu,"Material Footprint, All (t million)",metric ton,2018,...
Australia,"Material Footprint, All (t million)",metric ton,2018,1187700000
Japan,"Material Footprint, All (t million)",metric ton,2018,2403100000
New Zealand,"Material Footprint, All (t million)",metric ton,2018,145300000
Afghanistan,"Material Footprint, All (t million)",metric ton,2019,52600000
Armenia,"Material Footprint, All (t million)",metric ton,2019,17600000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2019,106100000
Georgia,"Material Footprint, All (t million)",metric ton,2019,41400000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2019,638300000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2019,50200000
Pakistan,"Material Footprint, All (t million)",metric ton,2019,747800000
Tajikistan,"Material Footprint, All (t million)",metric ton,2019,53600000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2019,78000000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2019,202000000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2019,31480200000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2019,837200000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2019,1127500000
Mongolia,"Material Footprint, All (t million)",metric ton,2019,34200000
Bangladesh,"Material Footprint, All (t million)",metric ton,2019,470200000
Bhutan,"Material Footprint, All (t million)",metric ton,2019,24700000
India,"Material Footprint, All (t million)",metric ton,2019,7140100000
Maldives,"Material Footprint, All (t million)",metric ton,2019,...
Nepal,"Material Footprint, All (t million)",metric ton,2019,159700000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2019,92900000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2019,37100000
Cambodia,"Material Footprint, All (t million)",metric ton,2019,94000000
Indonesia,"Material Footprint, All (t million)",metric ton,2019,1831400000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2019,69100000
Malaysia,"Material Footprint, All (t million)",metric ton,2019,625800000
Myanmar,"Material Footprint, All (t million)",metric ton,2019,111500000
Philippines,"Material Footprint, All (t million)",metric ton,2019,948300000
Singapore,"Material Footprint, All (t million)",metric ton,2019,292700000
Thailand,"Material Footprint, All (t million)",metric ton,2019,817900000
Viet Nam,"Material Footprint, All (t million)",metric ton,2019,822300000
Fiji,"Material Footprint, All (t million)",metric ton,2019,...
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2019,45900000
Samoa,"Material Footprint, All (t million)",metric ton,2019,...
Vanuatu,"Material Footprint, All (t million)",metric ton,2019,...
Australia,"Material Footprint, All (t million)",metric ton,2019,1180100000
Japan,"Material Footprint, All (t million)",metric ton,2019,2306300000
New Zealand,"Material Footprint, All (t million)",metric ton,2019,146800000
